Curte games?,Curte futebol?,Curte livros?,Curte jogos de tabuleiro?,Curte jogos de fórmula 1?,Curte jogos de MMA?,Idade,Estado que mora atualmente,Área de Formação,Tempo que atua na área de dados,Posição da cadeira (senioridade),Você se considera uma pessoa feliz?
Não,Não,Sim,Sim,Não,Não,29,RJ,Exatas,De 0 a 6 meses,Iniciante,Sim
Sim,Não,Sim,Sim,Não,Não,25,PA,Exatas,Não atuo,Iniciante,Sim
Sim,Sim,Sim,Sim,Não,Não,21,MG,Exatas,De 0 a 6 meses,Iniciante,Sim
Sim,Não,Sim,Sim,Não,Não,30,SC,Exatas,Não atuo,Iniciante,Não
Sim,Sim,Sim,Não,Não,Não,23,RJ,Exatas,De 6 meses a 1 ano,Iniciante,Sim
Sim,Sim,Sim,Não,Sim,Não,38,GO,Exatas,Não atuo,C-Level,Não
Sim,Sim,Sim,Sim,Não,Não,27,BA,Exatas,de 2 anos a 4 anos,Pleno,Sim
Sim,Não,Sim,Sim,Sim,Não,29,MG,Exatas,De 6 meses a 1 ano,Júnior,Sim
Sim,Sim,Não,Sim,Sim,Sim,22,MA,Exatas,De 1 ano a 2 anos,Júnior,Sim
Sim,Não,Sim,Sim,Sim,Não,40,BA,Exatas,De 1 ano a 2 anos,Pleno,Sim
Sim,Sim,Sim,Sim,Sim,Não,38,SP,Exatas,De 1 ano a 2 anos,Júnior,Sim
Sim,Não,Sim,Sim,Não,Não,33,DF,Humanas,Não atuo,Especialista,Sim
Sim,Não,Sim,Não,Não,Não,40,SP,Exatas,Mais de 4 anos,Sênior,Sim
Sim,Não,Sim,Sim,Sim,Sim,34,AM,Exatas,Não atuo,Iniciante,Não
Sim,Sim,Sim,Sim,Sim,Não,23,MG,Exatas,De 1 ano a 2 anos,Júnior,Sim
Não,Sim,Sim,Não,Não,Não,42,PE,Humanas,De 0 a 6 meses,Iniciante,Sim
Sim,Sim,Sim,Sim,Não,Não,37,RN,Exatas,Mais de 4 anos,Sênior,Sim
Sim,Sim,Sim,Sim,Não,Sim,29,BA,Exatas,De 0 a 6 meses,Júnior,Sim
Sim,Sim,Sim,Sim,Não,Não,34,SC,Exatas,De 0 a 6 meses,Júnior,Sim
Sim,Não,Não,Não,Não,Não,32,RJ,Exatas,de 2 anos a 4 anos,Pleno,Sim
Sim,Não,Sim,Sim,Não,Não,39,SP,Exatas,Não atuo,Sênior,Sim
Sim,Sim,Sim,Sim,Não,Sim,34,RJ,Exatas,Não atuo,Iniciante,Sim
Não,Não,Sim,Sim,Não,Não,49,DF,Humanas,Não atuo,Iniciante,Sim
Sim,Sim,Sim,Sim,Não,Não,24,SP,Exatas,Não atuo,Iniciante,Sim
Sim,Sim,Sim,Sim,Sim,Sim,40,SP,Exatas,de 2 anos a 4 anos,Sênior,Sim
Sim,Não,Não,Sim,Não,Não,32,SP,Exatas,de 2 anos a 4 anos,Pleno,Sim
Não,Sim,Sim,Sim,Não,Não,32,SP,Exatas,Mais de 4 anos,Sênior,Sim
Sim,Sim,Sim,Não,Sim,Não,25,SP,Exatas,De 1 ano a 2 anos,Júnior,Sim
Sim,Não,Sim,Sim,Não,Não,30,SP,Humanas,De 0 a 6 meses,Iniciante,Sim
Sim,Não,Sim,Sim,Não,Não,41,DF,Exatas,Mais de 4 anos,Sênior,Sim
Não,Não,Sim,Sim,Não,Não,30,ES,Exatas,de 2 anos a 4 anos,Pleno,Sim
Sim,Sim,Sim,Sim,Sim,Sim,20,SP,Exatas,De 6 meses a 1 ano,Iniciante,Sim
